name,RA,DEC,Period,T1init,T1,T1error,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,r1,r2,l2/l1,R2
TIC 353780788,276.564033,58.44257341,0.273514632,5775.75,5786.5685,144.6866916,71.09497973,4.256655996,3.268728644,1.041495128,0.055945426,0.012549013,0.902073261,0.01558575,0.917002766,0.012504797,0.285184216,0.489161128,2.011403231,0.9760965
TIC 365062319,20.67996012,8.880423651,0.429790676,5594,5689.347609,103.5047811,50.11290051,0.338196765,5.421149134,0.403263179,0.416333322,0.029329123,0.814511196,0.005184732,0,0,0.265488541,0.547726387,1.892473804,0.996860522
TIC 370247078,332.3807182,-59.45525527,0.362596527,6106.25,6103.996894,131.6433645,80.49085179,0.211757071,3.089045077,0.022267359,0.15950476,0.011551036,0.969281351,0.001487516,0,0,0.296169948,0.490143979,2.47784014,0.998424533
TIC 375854100,336.1062519,70.3326651,0.266511801,4722.02002,4543.737918,21.6800258,89.92787537,0.098386467,1.643368403,0.012213914,0.258632592,0.010008612,0.944027166,0.001096929,0,0,0.358424496,0.444771034,1.168743226,0.99578871
TIC 407223383,237.4368406,-81.67786839,0.869511882,6276,6339.056014,116.3295058,61.61574158,0.363365009,4.409122393,0.357830252,0.5158409,0.040960481,0.965309968,0.001856795,0,0,0.288007568,0.537229414,3.18173748,0.995479782
TIC 41170667,91.20030877,-67.52301377,0.973443059,6462.700195,6514.806406,130.4802836,56.82565234,0.335960518,0.246791282,0.023666715,0.468822784,0.053301724,1.00697997,0.003408817,0,0,0.528653625,0.292528095,0.305269591,0.998167397
TIC 414829771,14.56613148,13.80312391,0.677423078,6256.349609,6324.379767,118.7863918,64.97743091,0.329859686,0.259946781,0.019248755,0.10528281,0.017122675,0.97722377,0.001845425,0,0,0.50579163,0.275546421,0.27530627,0.998818262
TIC 7724421,66.41135971,-38.05948092,0.641123459,6513.594727,6605.529655,114.1309995,67.45855754,0.426825848,0.079737797,0.002160509,0.333726337,0.039932269,0.914344363,0.004288079,0,0,0.605691555,0.202557756,0.082677733,0.991196078
TIC 93053299,84.31962499,-23.66116787,0.411003802,5954.73291,5942.503423,133.5428059,76.83276525,0.568838437,0.120784499,0.001811263,0.582932328,0.046315747,1.028145097,0.002521157,0,0,0.584276281,0.240256933,0.180136924,0.998848141
TIC 101645013,259.5178966,41.84407054,0.471628922,6751.705078,6740.599564,131.8494209,65.79302393,0.343884868,0.321925638,0.026799789,0.382325561,0.026722006,1.01692807,0.002014239,0,0,0.503766456,0.310250598,0.392890557,0.997438165
TIC 219176881,91.48674747,-53.71442911,0.463812213,6728.512695,6871.145603,71.64777581,71.65160604,0.151019991,0.130862176,0.001058288,0.625121949,0.018194061,0.986450726,0.001226545,0,0,0.580314729,0.248235147,0.170639354,0.998629928
TIC 268686130,17.72335165,-18.96064947,0.467212014,7836.25,7936.582107,100.337247,83.03477624,0.521445895,0.168163717,0.001369316,0.36287592,0.018334666,0.963943847,0.00262312,0,0,0.552410638,0.25563934,0.191939382,0.992324849
TIC 336208030,281.2776156,40.18651595,0.577975323,6548,6479.611386,111.3605834,75.39942496,0.260522674,0.297137022,0.006529591,0.512852828,0.010993084,1.006698127,0.001446257,0,0,0.517562629,0.311782929,0.361089691,0.998211238
TIC 345560724,221.8604346,22.75405153,0.361155947,6358.5,6410.86197,130.1528836,69.65529761,0.632555021,6.2296708,0.309305083,0.322770555,0.024963295,0.941743916,0.002584244,0,0,0.25023688,0.554332769,4.080030944,0.996191034
TIC 359987981,223.910267,-79.80574,1.0646012,5856.25,6029.101854,37.29884983,85.12183644,1.204078859,0.095625866,0.000971248,0.484243187,0.031009093,0.961344201,0.001899327,0,0,0.597164818,0.219575688,0.115768336,0.998129764
TIC 393943031,344.1080681,-36.01389545,0.449770587,6425,6595.252401,33.75722971,80.62393343,0.234228795,0.15497831,0.00077245,0.402433496,0.014417481,0.998242568,0.001117869,0,0,0.56007017,0.251267865,0.196451616,0.999583679
TIC 50894724,127.0794914,-10.70782661,0.407532038,6605.25,6603.004796,120.4321573,59.2550353,0.707785276,0.438479084,0.074664239,0.130035184,0.01401066,1.021047325,0.007229643,0,0,0.462483837,0.319317485,0.508285644,0.996843053
